# fb2_session_log
# sections: events | dashboard_snapshots | dash_tiles
# note: main Dash only (hero + tiles + any + extras). Fuel/Trans/etc. not included.

# events
time_ms,category,message
1785175453787,GEAR,Estimated gear 4 → 3
1785175456315,GEAR,Estimated gear 3 → 2
1785175457581,GEAR,Estimated gear 2 → 1
1785175457835,FUEL,Fuel system OPEN LOOP → CLOSED LOOP
1785175457835,ZONE,coolant COLD → GOOD (NORMAL)
1785175462943,GEAR,Estimated gear 1 → 2
1785175464722,GEAR,Estimated gear 2 → 3
1785175469201,GEAR,Estimated gear 3 → 4
1785175473056,GEAR,Estimated gear 4 → 3
1785175475860,GEAR,Estimated gear 3 → 2
1785175476877,GEAR,Estimated gear 2 → 1
1785175482490,GEAR,Estimated gear 1 → 2
1785175484282,GEAR,Estimated gear 2 → 3
1785175488368,GEAR,Estimated gear 3 → 4
1785175492193,GEAR,Estimated gear 4 → 3

# dashboard_snapshots
time_ms,rpm,speed_kmh,coolant1_c,coolant2_c,intake_c,ambient_c,load_pct,throttle_pct,timing,maf_gps,map_kpa,stft_pct,ltft_pct,ecu_v,gear,fuel_loop
1785175452518,3174.0,103.0,57.0,,32.0,,62.384861747803924,44.461717634766494,12.0,16.476972349560786,92.38486174780392,-1.2625332757446432,,14.124319750469207,4,OPEN LOOP
1785175452771,3095.0,100.0,58.0,,32.0,,60.734701157800494,43.26160084203672,12.0,16.146940231560098,90.73470115780049,-0.9292043588275147,,14.115784648163508,4,OPEN LOOP
1785175453023,3010.0,96.0,59.0,,32.0,,58.957983962858805,41.96944288207913,12.0,15.791596792571761,88.9579839628588,-0.5588309963978517,,14.10896530556892,4,OPEN LOOP
1785175453276,2919.0,92.0,59.0,,32.0,,57.067041338257326,40.59421188236897,12.0,15.413408267651466,87.06704133825733,-0.1661788056349928,,14.104000656419316,4,OPEN LOOP
1785175453527,2824.0,87.0,60.0,,32.0,,55.07499723248483,39.14545253271624,12.0,15.014999446496967,85.07499723248483,0.23309840970098727,,14.100991847890416,4,OPEN LOOP
1785175453786,2724.0,83.0,60.0,,32.0,,52.99567728143912,37.63321984104664,12.0,14.599135456287824,82.99567728143913,0.6230827270267557,,14.10000017987992,3,OPEN LOOP
1785175454038,2620.0,78.0,61.0,,32.0,,50.843512852616044,36.06800934735712,12.0,14.168702570523209,80.84351285261604,0.9882267022772163,,14.101045856115322,3,OPEN LOOP
1785175454291,2514.0,73.0,62.0,,32.0,,48.63344088526257,34.46068428019096,12.0,13.726688177052514,78.63344088526257,1.3139731974375781,,14.104107572533685,3,OPEN LOOP
1785175454542,2406.0,68.0,62.0,,32.0,,46.380800221646346,32.82240016119734,12.0,13.27616004432927,76.38080022164635,1.5873357276983062,,14.109122951319533,3,OPEN LOOP
1785175454794,2297.0,63.0,63.0,,32.0,,44.10122514894687,31.164527381052267,12.0,12.820245029789373,74.10122514894687,1.7974161916232538,,14.115989811757954,3,OPEN LOOP
1785175455046,2187.0,58.0,63.0,,32.0,,41.81053689063285,29.498572284096618,12.0,12.36210737812657,71.81053689063285,1.9358393440629726,,14.124568252011283,3,OPEN LOOP
1785175455298,2077.0,54.0,64.0,,32.0,,39.52463380042202,27.836097309397832,12.0,11.904926760084404,69.52463380042202,1.99708669074921,,14.134683499406247,3,OPEN LOOP
1785175455555,1968.0,49.0,65.0,,32.0,,37.25938102092415,26.188640742490293,12.0,11.451876204184831,67.25938102092415,1.9787164932467636,,14.146129471161384,3,OPEN LOOP
1785175455807,1861.0,44.0,65.0,,32.0,,35.03050037278328,24.567636634751473,12.0,11.006100074556656,65.03050037278328,1.8814611133595462,,14.158672973010285,3,OPEN LOOP
1785175456061,1757.0,39.0,66.0,,32.0,,32.85346123853545,22.984335446207602,12.0,10.57069224770709,62.85346123853545,1.709197816176561,,14.172058450180106,3,OPEN LOOP
1785175456314,1656.0,34.0,66.0,,32.0,,30.74337319849484,21.449725962541702,12.0,10.148674639698967,60.74337319849484,1.4687941957482267,,14.186013193931394,2,OPEN LOOP
1785175456568,1558.0,30.0,67.0,,32.0,,28.714881163820518,19.974459028233106,12.0,9.742976232764104,58.71488116382052,1.1698343857835234,,14.20025289758389,2,OPEN LOOP
1785175456821,1466.0,26.0,68.0,,32.0,,26.78206373458555,18.568773625153128,12.0,9.35641274691711,56.78206373458555,0.8242369704835132,,14.214487448832747,2,OPEN LOOP
1785175457075,1378.0,22.0,68.0,,32.0,,24.958335488286572,17.24242580966296,12.0,8.991667097657315,54.95833548828657,0.4457798282004953,,14.228426840345497,2,OPEN LOOP
1785175457328,1296.0,18.0,69.0,,32.0,,23.256353876953355,16.00462100142062,12.0,8.651270775390671,53.256353876953355,0.04955085090671553,,14.241787078220398,2,OPEN LOOP
1785175457580,1221.0,15.0,69.0,,32.0,,21.687931379031973,14.863950093841435,12.0,8.337586275806395,51.68793137903197,-0.3486535624459593,,14.254295967930243,1,OPEN LOOP
1785175457834,1153.0,11.0,70.0,,32.0,,20.263953515745303,13.828329829632949,12.0,8.05279070314906,50.2639535157453,-0.7329582585038568,,14.265698659871878,1,CLOSED LOOP
1785175458087,1092.0,9.0,71.0,,32.0,,18.9943033009319,12.9049478552232,12.0,7.79886066018638,48.994303300931904,-1.0880422217787395,,14.27576284153927,1,CLOSED LOOP
1785175458338,1039.0,6.0,71.0,,32.0,,17.887792648713955,12.10021283542833,12.0,7.577558529742791,47.887792648713955,-1.3997493751870846,,14.284283470537494,1,CLOSED LOOP
1785175458589,994.0,4.0,72.0,,32.0,,16.952101215054046,11.419709974584762,12.0,7.3904202430108095,46.95210121505404,-1.6556529381713074,,14.291086952009676,,CLOSED LOOP
1785175458857,957.0,3.0,72.0,,32.0,,16.19372309766669,10.868162252848503,12.0,7.238744619533338,46.19372309766669,-1.8455508432256134,,14.296034675368189,,CLOSED LOOP
1785175459113,930.0,1.0,73.0,,32.0,,15.617921764209832,10.44939764669806,12.0,7.1235843528419664,45.61792176420983,-1.961872460132983,,14.299025838274563,,CLOSED LOOP
1785175459365,1611.0,0.0,74.0,,32.0,,15.228693521573847,10.166322561144616,12.0,7.045738704314769,45.228693521573845,-1.999980413101407,,14.299999500333819,,CLOSED LOOP
1785175459621,1601.0,0.0,74.0,,32.0,,15.028739779806973,10.020901658041435,12.0,7.005747955961395,45.02873977980697,-1.9583554583026348,,14.298935824662337,,CLOSED LOOP
1785175459879,1601.0,0.0,75.0,,32.0,,15.019448303177105,10.01414422049244,12.0,7.003889660635421,45.01944830317711,-1.8386570513293514,,14.295856482034186,,CLOSED LOOP
1785175460137,1610.0,0.0,75.0,,32.0,,15.200883578495798,10.146097147996944,12.0,7.040176715699159,45.2008835784958,-1.6456571899374177,,14.290824209372063,,CLOSED LOOP
1785175460392,1627.0,1.0,76.0,,32.0,,15.57178636755225,10.415844630947092,12.0,7.11435727351045,45.57178636755225,-1.3870501695542448,,14.28394153157791,,CLOSED LOOP
1785175460657,1654.0,2.0,77.0,,32.0,,16.129582446763692,10.82151450673723,12.0,7.225916489352739,46.12958244676369,-1.0731458360008699,,14.275348672743963,,CLOSED LOOP
1785175460908,1690.0,4.0,77.0,,32.0,,16.870400473385214,11.360291253371065,12.0,7.374080094677042,46.87040047338522,-0.7164585644736574,,14.265220699300144,,CLOSED LOOP
1785175461162,1734.0,6.0,78.0,,32.0,,17.789098854279935,12.028435530385407,12.0,7.557819770855987,47.789098854279935,-0.3312083508966188,,14.253763953301805,1,CLOSED LOOP
1785175461421,1786.0,8.0,78.0,,32.0,,18.87930143076872,12.82131013146816,12.0,7.775860286153744,48.87930143076872,0.06724609444227339,,14.241211848524175,1,CLOSED LOOP
1785175461677,1846.0,11.0,79.0,,32.0,,20.13344173189155,13.7334121686484,12.0,8.026688346378311,50.13344173189155,0.4630196502030779,,14.227820115011685,1,CLOSED LOOP
1785175461935,1914.0,14.0,80.0,,32.0,,21.542815488943795,14.758411264686398,12.0,8.30856309778876,51.542815488943795,0.8403340736532818,,14.213861588967259,1,CLOSED LOOP
1785175462187,1989.0,18.0,80.0,,32.0,,23.09764104681422,15.889193488592161,12.0,8.619528209362844,53.09764104681422,1.184147029414446,,14.19962065412962,1,CLOSED LOOP
1785175462438,2070.0,21.0,81.0,,32.0,,24.78712725284438,17.117910729341368,12.0,8.957425450568875,54.78712725284438,1.4807517799048973,,14.185387447887145,1,CLOSED LOOP
1785175462690,2157.0,25.0,81.0,,32.0,,26.599548352031505,18.43603516511382,12.0,9.3199096704063,56.599548352031505,1.7183236297129916,,14.171451950169837,1,CLOSED LOOP
